Designator,Mid X,Mid Y,Rotation,Layer
A1,112.38,-82.78,0.0,top
D1,84.455,-119.38,90.0,top
D10,160.655,-138.43,90.0,top
D11,113.03,-147.955,0.0,top
D2,103.505,-119.38,90.0,top
D3,122.555,-120.015,90.0,top
D4,141.605,-120.015,90.0,top
D5,160.655,-120.015,90.0,top
D6,84.455,-138.43,90.0,top
D7,103.505,-138.43,90.0,top
D8,122.555,-138.43,90.0,top
D9,141.605,-138.43,90.0,top
J1,98.27,-82.79,180.0,top
J2,126.68,-82.79,180.0,top
J3,130.52,-82.84,180.0,top
J4,94.55,-82.83,180.0,top
S1,74.93,-117.215,0.0,top
S10,151.13,-136.265,0.0,top
S11,113.03,-155.315,0.0,top
S2,93.98,-117.215,0.0,top
S3,113.03,-117.215,0.0,top
S4,132.08,-117.215,0.0,top
S5,151.13,-117.215,0.0,top
S6,74.93,-136.265,0.0,top
S7,93.98,-136.265,0.0,top
S8,113.03,-136.265,0.0,top
S9,132.08,-136.265,0.0,top
